longitude,run_id,heading,predictable,latitude,id,seconds_since_report,route_id
-118.334602,30_604_0,90.0,True,34.048546,8487,58,30
-118.051758,70_255_0,90.0,True,34.062626,5807,180,70
-118.219612,751_17_1,182.0,True,33.996628,8094,179,751
-118.2516797,51_258_0,307.0,True,34.0441703,3874,180,51
-118.289726,232_74_0,270.0,True,33.791065,11007,179,232
-118.263901,83_121_0,305.0,True,34.033257,7655,58,83
-118.142715,266_19_0,220.0,True,33.849831,5632,180,266
-118.213943,78_496_0,45.0,True,34.060867,5469,180,78
-118.35273,40_875_0,165.0,True,33.865864,9452,116,40
-118.352791,40_898_1,180.0,True,33.908932,9565,58,40
-118.253738,91_306_0,315.0,True,34.122826,8191,58,91
-118.271309,200_40_0,15.0,True,34.065102,5519,180,200
-118.03344,79_471_1,255.0,True,34.140095,5424,235,79
-118.287827,125_152_0,75.0,True,33.901806,11053,58,125
-118.2742163,66_284_0,119.0,True,34.053173,9398,180,66
-118.265144,51_259_0,345.0,True,33.984692,7432,116,51
-118.349319,105_220_1,152.0,True,34.019424,4003,116,105
-118.0443504,76_170_1,220.0,True,34.0721933,4143,180,76
-118.313751,757_68_1,90.0,True,34.101677,7900,179,757
-118.300186,206_165_0,0.0,True,33.945313,8526,58,206
-118.291626,754_92_0,345.0,True,34.063671,9578,57,754
-118.23735,68_131_0,105.0,True,34.058144,4076,116,68
-118.311523,207_275_0,255.0,True,34.101788,9442,58,207
-118.43824,230_87_1,139.0,True,34.264423,6024,56,230
-118.278221,45_518_0,360.0,True,33.961868,5376,57,45
-118.4879,534_143_1,219.0,True,34.014034,5662,180,534
-118.291336,14_382_0,255.0,True,34.076378,5676,58,14
-118.552048,534_144_0,75.0,True,34.038979,7373,57,534
-118.201355,720_1058_1,285.0,True,34.028004,9480,57,720
-118.288216,704_156_0,75.0,True,34.0908159,9259,176,704
-118.330109,210_260_1,219.0,True,34.104481,8610,58,210
-118.2806743,10_482_1,293.0,True,34.0751021,4095,59,10
-118.251312,62_225_1,220.0,True,34.063946,5627,58,62
-118.273537,102_60_1,299.0,True,34.019096,5701,58,102
-118.255112,40_874_0,30.0,True,34.043324,9420,56,40
-118.466431,901_55_0,90.0,True,34.1805189,9435,57,901
-118.344009,35_243_0,263.0,True,34.039856,7492,116,35
-118.335815,733_86_1,277.0,True,34.046951,9545,116,733
-118.279762,200_40_0,195.0,True,34.012218,5499,58,200
-118.3967138,117_53_0,72.0,True,33.9443145,8632,59,117
-118.291496,204_103_0,220.0,True,33.924908,9361,58,204
-118.3106768,164_55_1,311.0,True,34.178059,8321,59,164
-118.25708,71_84_0,36.0,True,34.0453029,5334,116,71
-118.201355,127_24_0,75.0,True,33.895977,6116,58,127
-118.28199,105_231_1,75.0,True,34.003696,7643,179,105
-118.334991,130_89_1,270.0,True,33.872906,11051,179,130
-118.230927,794_55_1,143.0,True,34.094692,8071,58,794
-118.2942007,91_310_1,127.0,True,34.2518975,8177,59,91
-118.3015437,705_69_0,271.0,True,34.0037155,6036,59,705
-118.343941,312_215_0,360.0,True,34.064388,5763,116,312
-118.1047137,378_491_1,270.0,True,34.1025556,4186,59,378
-118.180939,76_162_0,15.0,True,34.064499,5843,235,76
-118.292412,207_275_0,255.0,True,33.930984,9485,58,207
-118.350792,33_447_0,75.0,True,34.0449709,5341,58,33
-118.208504,81_179_1,210.0,True,34.094692,8524,179,81
-118.254128,760_43_0,308.0,True,34.046043,5856,57,760
-118.268845,53_177_0,90.0,True,33.923672,6043,58,53
